 


  
  

NCAA Men's Soccer
Division IPoints Per Game
Through Games 12/15/2025

Goals x 2 + assists must equal points
       
"Rank","Name","Team","Cl","Ht","Pos","Games","Goals","Assists","Points","Per Game"
"","Caio Tascheto","Bowling Green","Sr.","5-11","D","15","1"
"","Joey Tata","Central Conn. St.","Sr.","-","M","15","1"
"","Benjamin Telle","Quinnipiac","Jr.","-","-","17","1"
"","Brayden Tester","Wright St.","So.","6-1","FM","13","1"
"","Jago Thompson-Roberts","IU Indy","Jr.","6-2","D","16","1"
"","Hazani Torres","UIW","So.","-","-","15","1"
"","Kerfalla Toure","Fla. Atlantic","Sr.","6-4","D","17","1"
"","Owen Travis","FIU","Sr.","6-3","D","17","1"
"","Jeremie Truel","Niagara","Jr.","5-6","M","16","1"
"","Sofus Ulrich","La Salle","Fr.","-","-","16","1"
"","Arev Vera","UTRGV","Jr.","6-1","D","8","1"
"","Max Viera","Georgetown","Sr.","5-9","M","21","1"
"","Eddie Villeda","UC Santa Barbara","Sr.","5-10","M","19","1"
"","Aleksandar Vukovic","Duke","Sr.","6-4","D","14","1"
"","Lucien Wa Bwanda","Cal St. Fullerton","Fr.","6-2","D","19","1"
"","Ryan Wagner","Furman","So.","6-4","D","20","1"
"","Jayden Waski","DePaul","So.","5-11","F","16","1"
"","Terry Watson","Gonzaga","Sr.","6-2","-","14","1"
"","Micah Wayland","Old Dominion","So.","6-3","F","16","1"
"","Rayce Welborne","Howard","So.","5-10","D","15","1"
"","Londell Wheeler","LIU","Jr.","5-10","F","17","1"
"","CJ Williams","Boston College","Sr.","6-2","D","16","1"
"","Trevor Wilson","San Diego St.","Fr.","6-3","GK","4","1"
"","Garner Wolfe","Central Ark.","Fr.","6-1","M","12","1"
"","Jamie Wynne","Old Dominion","Sr.","5-10","F","16","1"
"","Charlie Yates","Colgate","Jr.","6-0","F","15","1"
"","Ermias Yohannes","UC Riverside","So.","5-10","D","12","1"
"","Joaquin d'Escoto","Southern Ind.","Fr.","6-1","D","11","1"
"","Leonardo de Almeida Seixas","Oral Roberts","Sr.","5-5","M","16","1"
"","kevaughn harris","Binghamton","Jr.","6-3","F","5","1"
"","Martin von Thun","Notre Dame","Sr.","-","D","13","1"
Reclassifying
"NR","Santiago Giraldo","Mercyhurst","Fr.","5-4","M","15","1"
"NR","Maximilian Huss","Le Moyne","Jr.","6-0","D","15","1"
"NR","Diego Martinez","Le Moyne","So.","5-10","M","12","1"
"NR","Alvar Silva","Mercyhurst","Jr.","6-0","F","16","1"

NCAA Men's Soccer
Division IShot Accuracy
Through Games 12/15/2025

Min. 2 shots per game
       
"Rank","Name","Team","Cl","Ht","Pos","Games","SoG","ShAtt","Goals","Pct."
"1","Shane Fonseca","Stonehill","Sr.","5-10","F","18","26","40","4","0.650"
"2","Daniel Burko","Hofstra","Sr.","6-3","F","20","38","61","13","0.623"
"3","Cooper Forcellini","Xavier","Sr.","6-1","M","15","19","31","10","0.613"
"4","Nathan Simes","Wofford","Jr.","6-1","F","18","31","51","8","0.608"
"5","Daniel Lugo","High Point","So.","6-2","F","20","26","43","14","0.605"
"6","Patrick Cayelli","Penn","Sr.","5-10","M","17","25","42","9","0.595"
"7","Ivan Morcillo","Sacred Heart","So.","5-11","F","17","22","37","7","0.595"
"8","Ivar Orri Gissurarson","UAlbany","Jr.","6-5","M","16","20","34","6","0.588"
"9","Lewis Rourke","Old Dominion","Jr.","6-2","F","18","21","36","10","0.583"
"10","Iann Topete","Purdue Fort Wayne","Sr.","5-11","F","17","25","43","8","0.581"
"11","Elias Khodri","New Hampshire","Sr.","6-0","F","18","30","52","7","0.577"
"12","Ryan Okerayi","Houston Christian","Jr.","6-3","F","18","28","49","9","0.571"
"13","Lilian Ricol","UCF","Jr.","6-2","F","21","29","51","13","0.569"
"14","Dunes Nielsen","Utah Tech","So.","5-11","M","14","17","30","5","0.567"
"15","Joe Highfield","Portland","So.","6-4","F","20","26","46","11","0.565"
"16","Zach Zengue","Georgetown","Sr.","5-9","M","22","40","71","14","0.563"
"17","Blake D'Agostino","California Baptist","So.","6-2","F","16","19","34","10","0.559"
"","Liam Gainey","Western Ill.","Sr.","6-0","F","16","19","34","7","0.559"
"19","Sergi Solans Ormo","UCLA","So.","6-2","F","19","35","63","16","0.556"
"20","Marcus Caldeira","West Virginia","Sr.","6-2","F","21","36","65","14","0.554"
"21","Gijs Verheul","Marist","So.","6-4","D","14","18","33","6","0.545"
"22","Mitchell Baker","Georgetown","So.","6-4","F","21","43","79","14","0.544"
"23","Stephan Soghomonian","SMU","So.","5-10","F","20","25","46","13","0.543"
"24","Richard Monath","Delaware","Jr.","5-8","M","17","20","37","12","0.541"
"25","Donavan Phillip","NC State","Jr.","6-2","F","22","44","82","19","0.537"
"26","Yeider Zuluaga","Seattle U","Sr.","5-11","M","13","16","30","9","0.533"
"27","Adam Abdelaal","Merrimack","So.","6-0","F","16","17","32","4","0.531"
"","Sam Delgado","William & Mary","Sr.","-","F","16","17","32","2","0.531"
"","Bruno Rosa","Providence","Sr.","6-2","F","15","17","32","4","0.531"
"30","Tim Strele","Saint Peter's","Sr.","6-1","F","15","18","34","12","0.529"
"31","Jakob Friedman","Monmouth","Sr.","5-8","F","16","20","38","4","0.526"
"32","Jaime Barbero","FDU","Sr.","5-9","F","21","25","48","6","0.521"
"33","Drew Roskos","Bucknell","So.","5-8","F","18","27","52","8","0.519"
"34","Samson Kpardeh","Gardner-Webb","So.","5-8","M","18","31","60","9","0.517"
"35","Fran Cortijo","Oregon St.","Sr.","5-11","D","17","20","39","7","0.513"
"36","Luka Lukic","California","Sr.","6-3","F","18","21","41","8","0.512"
"37","Nacho Abeal","North Carolina","Sr.","5-8","M","20","26","51","7","0.510"
"","Trace Terry","Bowling Green","Sr.","6-2","F","17","26","51","10","0.510"
"39","Alvaro Maneiro","Iona","So.","5-10","M","18","27","53","7","0.509"
"40","Palmer Ault","Indiana","Sr.","5-10","F","19","31","61","16","0.508"
"41","Laurie Goddard","Hofstra","Sr.","6-2","M","20","35","70","15","0.500"
"","Mathis Guffroy","St. Thomas (MN)","Sr.","-","F","16","25","50","5","0.500"
"","Preston Kipnusu","Drake","So.","6-4","F","15","15","30","4","0.500"
"","Matt Lenert","Col. of Charleston","Jr.","6-4","F","17","17","34","5","0.500"
"","Rodrigo Mendes","UNC Asheville","Sr.","5-6","F","16","20","40","5","0.500"
"","Franco Ocana","Gardner-Webb","Fr.","-","M","14","19","38","3","0.500"
"47","Edouard Nys","UIC","Jr.","5-8","M","18","49","99","16","0.495"
"48","Enzo Dovlo","UNC Greensboro","Jr.","6-0","F","23","33","67","10","0.493"
"49","Denis Krioutchenkov","Charlotte","Sr.","6-3","F","16","28","57","7","0.491"
"50","David Raphael","San Francisco","So.","5-8","F","17","21","43","8","0.488"
"51","Isaac Emojong","Utah Valley","So.","6-2","FM","15","20","41","6","0.488"
"","Arnold Matshazi","San Jose St.","So.","5-9","F","20","20","41","12","0.488"
"53","William Fagerberg","Manhattan","So.","6-0","M","14","19","39","7","0.487"
"54","Sean Albritton","Fairfield","Fr.","-","F","14","17","35","9","0.486"
"","Jack Bretzmann","Milwaukee","Fr.","5-10","F","16","17","35","5","0.486"
"","Anthony Catanzaro","Central Conn. St.","Jr.","-","F","17","17","35","2","0.486"
"57","Emile Kisse","Fordham","So.","5-11","F","15","16","33","4","0.485"
"58","Mikey Johnson","Delaware","Sr.","6-2","F","17","26","54","11","0.481"
"59","Ransford Gyan","Clemson","So.","5-6","F","17","25","52","8","0.481"
"60","Evan Howard","SIUE","Sr.","6-5","F","16","24","50","8","0.480"
"61","Will Wiersdorf","Santa Clara","Jr.","5-8","M","18","23","48","6","0.479"
"62","Declan Quill","Virginia Tech","Sr.","6-2","F","16","21","44","5","0.477"
"63","Leo Conneh","Liberty","Jr.","5-7","F","20","19","40","6","0.475"
"64","Archie Hatcher","Holy Cross","Fr.","5-11","F","16","18","38","6","0.474"
"","Jack Stainrod","LIU","Sr.","6-2","F","17","18","38","3","0.474"
"66","Kyle Evans","Marist","Jr.","-","M","16","23","49","7","0.469"
"67","Luke Spadafora","Michigan St.","Fr.","-","M","16","15","32","2","0.469"
"68","Charlie Kosakoff","Washington","Jr.","5-11","F","23","28","60","11","0.467"
"69","Vance Sheffield","NIU","Fr.","6-0","F","17","19","41","6","0.463"
"70","Mamadi Jiana","Bryant","Sr.","6-0","F","21","25","54","7","0.463"
"71","David Ajagbe","Portland","So.","6-1","F","20","24","52","10","0.462"
"72","Miguel Arilla","Creighton","Jr.","5-8","M","16","17","37","6","0.459"
"","Casey Welage","Eastern Ill.","Sr.","5-11","M","17","17","37","3","0.459"
"74","Andrea Di Blasio","Boston U.","Jr.","6-1","F","17","16","35","5","0.457"
"75","Marius Stenner","Delaware","So.","6-0","F","17","26","57","11","0.456"
"76","Junior Diouf","Grand Canyon","Fr.","6-1","F","21","36","79","18","0.456"
"77","Giorgos Diakos","Cornell","Sr.","-","F","17","19","42","3","0.452"
"78","Clarence Awoudor","UCF","Sr.","5-7","FM","21","28","62","7","0.452"
"79","Cason Goodman","UC Davis","Sr.","6-3","F","19","23","51","6","0.451"
"80","Austin Brummett","UConn","Sr.","6-0","F","20","18","40","10","0.450"
"81","Johan Nissen-Lie","Bellarmine","So.","6-3","F","17","22","49","10","0.449"
"82","Fumiya Shiraishi","Missouri St.","Sr.","5-7","F","16","17","38","8","0.447"
"83","Jubril Bamgbala","Army West Point","Jr.","6-1","F","17","16","36","5","0.444"
"","Brando Bedolla","Longwood","So.","5-9","F","15","16","36","6","0.444"
"","Brady Geho","UMBC","So.","6-3","F","17","20","45","7","0.444"
"","Balthazar Saunders","UConn","Sr.","6-0","M","21","20","45","5","0.444"
"87","Katai Mukuka","NIU","So.","6-1","F","17","18","41","4","0.439"
"","Joe Suchecki","Northwestern","Sr.","6-4","M","17","18","41","4","0.439"
"89","Ian Abbey","Providence","Sr.","5-7","F","16","17","39","3","0.436"
"","Arnau Farnos","Oregon St.","Sr.","5-9","M","17","34","78","15","0.436"
"","Jose Antonio Herrera","IU Indy","Jr.","5-11","F","17","17","39","3","0.436"
"","Donovan Sessoms","Sacramento St.","Jr.","5-10","F","17","17","39","2","0.436"
"93","Matt Cence","Massachusetts","Sr.","-","M","17","20","46","5","0.435"
"","Arnaud Tattevin","UNC Greensboro","Jr.","5-10","F","23","20","46","12","0.435"
"95","Bryce Flowers","Northeastern","So.","5-11","F","15","13","30","5","0.433"
"96","Andrew Schug","Navy","Sr.","5-10","F","18","16","37","4","0.432"
"","Keegan Walker","Green Bay","Jr.","5-9","M","16","16","37","6","0.432"
"98","Stefan Dobrijevic","Akron","Sr.","6-2","F","21","22","51","8","0.431"
"99","Taig Healy","NC State","Sr.","5-7","M","22","31","72","5","0.431"
"100","Michel Feldman","Queens (NC)","Sr.","6-2","F","17","15","35","2","0.429"
"","Carlos Zambrano","Syracuse","Sr.","5-10","M","20","18","42","5","0.429"
"102","Martin Bakken","Dayton","Jr.","6-1","M","18","17","40","8","0.425"
"","Fabio Bozesan","South Fla.","Sr.","-","F","17","17","40","8","0.425"
"","Owen Burke","Stonehill","Sr.","5-11","M","18","17","40","3","0.425"
"","Osei Gyamfi","UNCW","So.","5-9","M","14","17","40","3","0.425"
"","Oliver Moller-Jensen","Fla. Atlantic","Jr.","5-9","F","18","17","40","6","0.425"
"","Martin Piedeleu","Siena","Fr.","5-8","M","19","17","40","4","0.425"
"108","David Ismail","Vermont","Sr.","6-4","F","19","22","52","10","0.423"
"109","Ethan Dekel Daks","West Virginia","Sr.","5-9","M","21","19","45","2","0.422"
"","Sadam Masereka","Maryland","Sr.","5-9","F","19","19","45","9","0.422"
"111","Brayden Beason","San Francisco","So.","6-2","F","16","16","38","7","0.421"
"112","Sivert Ryssdalsnes","Quinnipiac","So.","-","M","18","21","50","7","0.420"
"113","Samir Dishnica","Lafayette","Jr.","6-0","M","22","28","67","6","0.418"
"114","Mikkel Lejbowicz","Seton Hall","So.","6-2","F","16","15","36","7","0.417"
"115","Fletcher Bank","Stanford","Sr.","5-10","M","20","17","41","4","0.415"
"116","Jeremy Francou","Kansas City","Jr.","6-0","F","21","21","51","11","0.412"
"","Giacomo Zizza","Lehigh","So.","-","M","20","21","51","4","0.412"
"118","Nathan Richmond","Clemson","Sr.","5-7","M","17","16","39","7","0.410"
"119","Ricky Louis","Ga. Southern","So.","6-2","F","17","20","49","9","0.408"
"120","Mario Carlos","Cal St. Fullerton","Sr.","6-0","F","19","22","54","7","0.407"
"","Stephane Njike","Maryland","So.","5-10","F","18","22","54","7","0.407"
"122","Luke Pompliano","Fordham","Sr.","6-1","F","16","13","32","3","0.406"
"123","Juan Zepeda","San Diego St.","So.","6-3","F","18","15","37","4","0.405"
"124","Shane Anderson","Purdue Fort Wayne","Sr.","5-9","M","17","28","70","9","0.400"
"","Bienvenu Djunga","Milwaukee","Sr.","5-11","F","19","18","45","3","0.400"
"","Bennett Gerak","Northern Ky.","Jr.","6-0","M","15","12","30","1","0.400"
"","Zack Lillington","UC Davis","Sr.","6-4","M","18","24","60","3","0.400"
"","Richie Nichols","Loyola Maryland","Sr.","5-8","M","15","12","30","0","0.400"
"","Joschi Schelb","Rutgers","Jr.","6-0","M","17","22","55","7","0.400"
"130","Kenan Hot","Duke","Sr.","5-11","M","19","19","48","8","0.396"
"131","Matteo Landais","Lindenwood","Sr.","6-0","M","18","15","38","5","0.395"
"","Tiago Lima-Bittencourt","Drexel","Jr.","6-2","M","16","15","38","3","0.395"
"133","Ethan Sassine","Dayton","Sr.","5-10","F","17","19","49","8","0.388"
"134","Andrew Armstrong","Dayton","So.","6-0","F","18","15","39","4","0.385"
"","Zach Bohane","Stanford","Sr.","5-10","M","19","25","65","5","0.385"
"136","Chris Album","Green Bay","Sr.","6-0","F","16","13","34","6","0.382"
"","Andreas Savva","Harvard","Jr.","5-10","F","17","13","34","4","0.382"
"138","Rui Reis","UIC","Sr.","5-9","M","18","21","55","2","0.382"
"139","Lorenzo Amaral","Brown","Jr.","-","F","15","14","37","2","0.378"
"","Blake Pipkin","Colgate","So.","5-7","F","17","14","37","1","0.378"
"141","Daniel D'Ippolito","Fordham","Sr.","5-11","M","17","21","56","6","0.375"
"","Caden Grabfelder","Penn St.","Jr.","6-0","M","16","12","32","2","0.375"
"","Noeh Hernandez","DePaul","Jr.","5-9","F","16","18","48","3","0.375"
"","Bardia Hormozi","Princeton","Jr.","5-10","FM","19","24","64","6","0.375"
"","Nico Pendleton","Marquette","So.","5-11","M","14","15","40","4","0.375"
"146","Ulises Grado","Cal St. Fullerton","So.","5-11","M","15","13","35","5","0.371"
"","Arnau Vilamitjana","Pittsburgh","Sr.","6-2","M","17","13","35","8","0.371"
"148","Seth Hammond","St. Bonaventure","Sr.","5-7","M","15","17","46","7","0.370"
"149","Jacobo Sanfeliu","George Mason","Sr.","6-0","F","16","14","38","7","0.368"
"150","Daniel Ittycheria","Princeton","Sr.","6-2","F","16","22","60","9","0.367"
"","Loed Klaasen","Coastal Carolina","Sr.","6-1","M","14","11","30","4","0.367"
Reclassifying
"NR","Francesco Pagano","Le Moyne","Sr.","6-1","F","17","19","36","6","0.528"
"NR","Guilherme Meira","New Haven","Fr.","-","D","14","14","30","3","0.467"

NCAA Men's Soccer
Division IGoalie Minutes Played
Through Games 12/15/2025


"Rank","Name","Team","Cl","Ht","Pos","Games","Goalie Min. Plyd"
"1","Jeremi Abonnel","Saint Louis","Sr.","6-0","GK","24","2213:50"
"2","Seth Wilson","UNC Greensboro","Jr.","6-5","GK","23","2126:16"
"3","Logan Erb","NC State","Sr.","6-3","GK","23","2004:08"
"4","Eric Axtman","Lafayette","Sr.","6-1","GK","21","1911:54"
"5","Juanvi Muñoz","UCF","Sr.","6-0","GK","21","1903:06"
"6","Isaac Nehme","Denver","Sr.","6-0","GK","21","1900:24"
"7","Mitch Budler","Akron","Sr.","6-4","GK","21","1890:00"
"","Kyle Durham","UConn","So.","6-3","GK","21","1890:00"
"9","Marc Bonnaire","West Virginia","Sr.","6-3","GK","21","1888:22"
"10","Ivan Horvat","Furman","So.","6-3","GK","21","1862:35"
"11","Tenzing Manske","Georgetown","Sr.","6-1","GK","21","1845:55"
"12","Joe O'Shaughnessy","UC Irvine","So.","6-7","GK","21","1845:00"
"13","Andrew Cordes","North Carolina","Sr.","6-2","GK","20","1840:00"
"14","Niklas Herceg","Vermont","So.","6-6","GK","20","1814:01"
"15","Tyler Beck","Liberty","So.","6-4","GK","20","1800:00"
"","Isaiah Goldson","Michigan","Jr.","6-0","GK","20","1800:00"
"","Tomas Hut","Syracuse","Sr.","6-3","GK","20","1800:00"
"","Michal Mroz","Evansville","So.","6-2","GK","20","1800:00"
"","Marc Popow","Kansas City","Fr.","6-1","GK","20","1800:00"
"20","Anton Kinnunen","Lehigh","So.","-","GK","20","1799:44"
"21","Blake Kelly","Notre Dame","So.","6-2","GK","20","1794:59"
"22","Ryan Friedberg","Cornell","Sr.","6-5","GK","20","1790:51"
"23","Nicky McCune","Cal Poly","Sr.","6-2","GK","20","1788:19"
"24","Tim Baerwalde","Presbyterian","Sr.","6-2","GK","20","1787:48"
"25","Rowan Schnebly","Stanford","Jr.","6-1","GK","20","1787:13"
"26","Josh Caron","High Point","Sr.","6-0","GK","20","1781:58"
"27","Daniel Ibarra","Grand Canyon","Sr.","6-1","GK","20","1775:00"
"28","Micah Ramirez","Western Ill.","Sr.","6-0","GK","20","1773:28"
"29","Sebastian Conlon","Kentucky","Sr.","6-2","GK","19","1743:50"
"30","Miguel-Angel Hernandez","Portland","Jr.","6-0","GK","19","1730:00"
"","Jackson Leavitt","Elon","Sr.","6-0","GK","19","1730:00"
"","Laurin Mack","Maryland","So.","6-1","GK","19","1730:00"
"33","Alex Aitken","Houston Christian","Sr.","6-0","GK","19","1720:21"
"34","Pepe Hinterschuster","Wofford","So.","6-3","GK","19","1719:45"
"35","Jadon Bowton","Washington","Sr.","6-4","GK","19","1717:15"
"36","Matias Molina","Seton Hall","Sr.","5-10","GK","19","1716:43"
"37","Andrew Samuels","Princeton","Jr.","6-4","GK","19","1704:27"
"38","Bennet Glinder","Siena","Jr.","6-2","GK","19","1693:55"
"39","Eryk Dymora","Duke","Sr.","6-3","GK","19","1665:00"
"40","Luciano Natoli","North Florida","Jr.","6-0","GK","18","1661:16"
"41","Max Leviton","Campbell","So.","6-2","GK","19","1655:57"
"42","Enzo Carvalho","Bryant","Sr.","6-5","GK","18","1640:00"
"43","Ryan Poling","Cleveland St.","Sr.","6-0","GK","18","1633:44"
"44","Nate Martinez","Ga. Southern","Sr.","6-3","GK","18","1633:06"
"45","Noah Scheidweiler","SIUE","Fr.","6-3","GK","19","1632:57"
"46","Carlito Saylon","Tulsa","So.","6-0","GK","18","1620:29"
"47","Alejandro DeLaTorre","UIW","Sr.","-","GK","18","1620:00"
"","Nic Diana","Milwaukee","Jr.","6-1","GK","18","1620:00"
"","Alan Horrocks","Gardner-Webb","Sr.","-","GK","18","1620:00"
"","Philip Hovers","LMU (CA)","Jr.","6-3","GK","18","1620:00"
"","Loan Marin","Georgia St.","Sr.","6-2","GK","18","1620:00"
"","Jack Moxom","Pittsburgh","Jr.","6-3","GK","18","1620:00"
"53","Henry Hampshaw","Mercer","So.","6-1","GK","18","1603:45"
"54","Lucas Beltran","Davidson","Jr.","6-2","GK","18","1603:42"
"55","Edgar Guerra","San Jose St.","Sr.","6-3","GK","18","1584:07"
"56","Jarrett Wuerslin","USC Upstate","So.","6-1","GK","18","1575:00"
"57","Filip Versterre","South Carolina","So.","6-3","GK","18","1564:45"
"58","Cooper Jennings","Saint Joseph's","Jr.","6-1","GK","17","1550:00"
"","Gavin Krenecki","Dayton","Sr.","5-11","GK","17","1550:00"
"","Emigdio Lopez","UMBC","Sr.","5-11","GK","17","1550:00"
"","Casper Mols","Virginia","Sr.","6-4","GK","17","1550:00"
"","Michael Statham","Old Dominion","Sr.","6-4","GK","17","1550:00"
"63","John Nicolson","Oregon St.","So.","6-3","GK","17","1543:27"
"64","Tomas Butkovic","Drake","So.","6-0","GK","17","1531:51"
"65","Jahiem Wickham","South Fla.","Sr.","6-4","GK","17","1530:29"
"66","Devin Armstrong","NJIT","Sr.","6-2","GK","17","1530:00"
"","Drew Berry","Bradley","Sr.","6-2","GK","17","1530:00"
"","Aurie Briscoe","Butler","Sr.","6-1","GK","17","1530:00"
"","Ciaran Dalton","Rutgers","Sr.","6-2","GK","17","1530:00"
"","Dorian Drucks","CSUN","Jr.","6-3","GK","17","1530:00"
"","Zenden Hart","CSU Bakersfield","Sr.","6-1","GK","17","1530:00"
"","Julian Marcos","Mount St. Mary's","Sr.","6-3","GK","17","1530:00"
"","Matheus Rhormens","Queens (NC)","So.","6-3","GK","17","1530:00"
"","Alex Svetanoff","Louisville","Jr.","6-2","GK","17","1530:00"
"","Eric Widrick","Colgate","Sr.","6-1","GK","17","1530:00"
"76","Josh Lane","Robert Morris","Jr.","6-2","GK","17","1522:07"
"77","Joseph Andema","Clemson","Sr.","6-0","GK","17","1520:07"
"78","Sep Habibi","Purdue Fort Wayne","So.","6-2","GK","17","1518:44"
"79","Grant Calvert","Belmont","Sr.","6-2","GK","17","1516:16"
"80","Ben Miller","Radford","So.","6-2","GK","17","1500:31"
"81","Noah Schwengeler","UC Davis","Sr.","6-5","GK","18","1496:10"
"82","Peter Van Euwen","Bellarmine","Sr.","5-11","GK","17","1485:17"
"83","Alex Lindewirth","Western Mich.","Jr.","6-3","GK","19","1485:00"
"","Zack Murphy","VMI","Sr.","6-0","GK","17","1485:00"
"85","Alec McLachlan","St. John's (NY)","Sr.","6-1","GK","17","1463:20"
"86","Nigel Van Haveren","FIU","Jr.","6-6","GK","16","1460:00"
"87","Leo Stritter","Charlotte","Sr.","6-2","GK","16","1453:31"
"88","Hugo Do Rego","California Baptist","Jr.","6-0","GK","16","1442:30"
"89","Matthew Tibbetts","American","Sr.","6-2","GK","16","1441:54"
"90","Lucca Barros","UNC Asheville","Fr.","6-2","GK","16","1440:00"
"","JoJo Elliott","Delaware","Fr.","6-3","GK","16","1440:00"
"","Matthew Hudson","Creighton","So.","6-1","GK","16","1440:00"
"","Sam Joseph","Virginia Tech","Sr.","6-4","GK","16","1440:00"
"","Valentin Kneis","La Salle","Sr.","6-3","GK","16","1440:00"
"","Hugo Lemos","UNLV","Jr.","-","GK","16","1440:00"
"96","Rafael Ponce De Leon","Northwestern","Sr.","6-3","GK","16","1439:47"
"97","Jonah Mednard","Wake Forest","So.","6-2","GK","17","1438:02"
"98","Trey Smiley","UNCW","Jr.","6-4","GK","16","1430:44"
"99","Chema Preciado","Gonzaga","Jr.","6-2","GK","16","1430:03"
"100","Jamie Lowell","Marist","Sr.","6-4","GK","16","1428:59"
"101","Ryan Carney","Providence","Fr.","6-3","GK","16","1427:01"
"102","Zac Kelly","Michigan St.","Sr.","6-0","GK","16","1423:04"
"103","Ludvig Malberg","Manhattan","Sr.","6-4","GK","16","1422:27"
"104","Sam Bentley","Saint Mary's (CA)","So.","6-3","GK","16","1419:24"
"105","Robert Eaton","Navy","Sr.","6-3","GK","16","1419:22"
"106","Luca Marinelli","Sacred Heart","Sr.","6-1","GK","16","1418:55"
"107","Jackson Ozburn","Santa Clara","Sr.","6-3","GK","17","1416:08"
"108","Matheus Franca","FDU","Jr.","6-2","GK","16","1407:01"
"109","Nicolò Radaelli","Stetson","Sr.","6-2","GK","16","1401:16"
"110","Trevor Maloney","VCU","Jr.","6-1","GK","17","1395:00"
"111","Brody Smith","Air Force","So.","6-5","GK","16","1392:55"
"112","Freddie Lapworth","Bucknell","Sr.","6-1","GK","16","1359:54"
"113","Emil Holmberg","ETSU","Fr.","-","GK","15","1358:33"
"114","Owen Cornell","UIC","Sr.","6-0","GK","15","1350:00"
"","Tobias Jahn","Northeastern","Sr.","6-2","GK","15","1350:00"
"","Alex Kron","Northern Ky.","So.","6-3","GK","15","1350:00"
"","Jaume Salvado","George Mason","Sr.","6-0","GK","15","1350:00"
"","Max Trejo","Ohio St.","Sr.","6-2","GK","15","1350:00"
"119","Diego Chavez","Duquesne","Sr.","6-2","GK","15","1349:19"
"120","Conrad Lee","Yale","Sr.","6-4","GK","15","1336:32"
"121","Tom Macauley","George Washington","Jr.","6-2","GK","15","1330:18"
"122","Evan Chomow","Fairfield","Fr.","6-5","GK","15","1317:15"
"123","Atahan Arslan","NIU","Jr.","6-2","GK","15","1316:15"
"124","Gino Cervoni","Hofstra","Sr.","6-5","GK","17","1305:00"
"125","Christian Sekanina","Jacksonville","Sr.","6-1","GK","14","1280:00"
"126","Jack Kilstrom","Winthrop","Jr.","6-5","GK","15","1277:15"
"127","Michael Guiry","Army West Point","So.","6-5","GK","15","1273:08"
"128","Fernando Alves Schmelz","Iona","So.","6-3","GK","15","1268:55"
"129","Diego Garciarena","Saint Francis","Jr.","6-1","GK","14","1263:25"
"130","Andrej Borak","Boston College","Fr.","6-5","GK","14","1260:00"
"","Holden Brown","Indiana","Sr.","6-4","GK","14","1260:00"
"","Martin Dominguez","SMU","Sr.","5-11","GK","14","1260:00"
"","Jonathan Evans","Penn St.","So.","6-0","GK","14","1260:00"
"","Lucas Jones","San Francisco","Jr.","5-11","GK","14","1260:00"
"","Charlie Lanphier","Seattle U","Sr.","6-5","GK","14","1260:00"
"","Jourdan Schumacher","Col. of Charleston","Sr.","6-2","GK","14","1260:00"
"","Nelton Semedo","Merrimack","Sr.","6-0","GK","14","1260:00"
"","Grant Wyles","Niagara","Jr.","6-1","GK","14","1260:00"
"139","Jacob English","Southern Ind.","Fr.","6-2","GK","16","1259:06"
"140","Heidar Hermannsson","Stony Brook","Fr.","6-3","GK","14","1244:11"
"141","Lucca Adams","San Diego","So.","6-1","GK","14","1244:04"
"142","Cameron Maung-Maung","IU Indy","Sr.","5-11","GK","15","1235:25"
"143","Alfred Mikkelsen","Fla. Atlantic","Fr.","6-0","GK","14","1229:09"
"144","Moritz Conrad","Saint Peter's","So.","6-3","GK","14","1215:00"
"","Andrew Hermosillo","UC Riverside","Jr.","6-2","GK","14","1215:00"
"146","Tristan Stephani","Fordham","Sr.","6-4","GK","13","1190:00"
"147","Matisse Hebert","Wisconsin","So.","6-4","GK","14","1185:28"
"148","Eddie DeMarco","Marshall","Jr.","6-2","GK","13","1181:15"
"149","Eddy Vargas","San Diego St.","Sr.","6-0","GK","14","1172:41"
"150","Alex Kara","Lipscomb","So.","6-4","GK","13","1170:00"
Reclassifying
"NR","Wyatt Dupell","Le Moyne","Jr.","6-2","GK","17","1530:00"
"NR","Alessandro Bizzini","New Haven","Sr.","-","GK","14","1215:00"

NCAA Men's Soccer
Division IGame-Winning Goals
Through Games 12/15/2025


"Rank","Name","Team","Cl","Ht","Pos","Games","GWG"
"1","Laurie Goddard","Hofstra","Sr.","6-2","M","20","8"
"2","Junior Diouf","Grand Canyon","Fr.","6-1","F","21","7"
"","Daniel Lugo","High Point","So.","6-2","F","20","7"
"4","Marcus Caldeira","West Virginia","Sr.","6-2","F","21","6"
"","Arnold Matshazi","San Jose St.","So.","5-9","F","20","6"
"6","David Ajagbe","Portland","So.","6-1","F","20","5"
"","Palmer Ault","Indiana","Sr.","5-10","F","19","5"
"","Mitchell Baker","Georgetown","So.","6-4","F","21","5"
"","Jaime Barbero","FDU","Sr.","5-9","F","21","5"
"","Arnau Farnos","Oregon St.","Sr.","5-9","M","17","5"
"","Charlie Kosakoff","Washington","Jr.","5-11","F","23","5"
"","Donavan Phillip","NC State","Jr.","6-2","F","22","5"
"","Arnau Rabassa Guillamon","FDU","Sr.","-","M","20","5"
"","Sergi Solans Ormo","UCLA","So.","6-2","F","19","5"
"","Arnaud Tattevin","UNC Greensboro","Jr.","5-10","F","23","5"
