 


  
  

NCAA Men's Soccer
Division IPoints Per Game
Through Games 12/15/2025

Goals x 2 + assists must equal points
       
"Rank","Name","Team","Cl","Ht","Pos","Games","Goals","Assists","Points","Per Game"
"","Stephan Soghomonian","SMU","So.","5-10","F","20","5","5","1.000"
"","Graham Dougald","Mount St. Mary's","Sr.","5-10","M","17","4","4","1.000"
"","Cooper Flax","Wake Forest","Sr.","6-0","M","17","4","4","1.000"
"","Daniel Ittycheria","Princeton","Sr.","6-2","F","16","4","4","1.000"
"","Mitar Mitrovic","Michigan","Sr.","6-2","M","18","4","4","1.000"
"","Ryan Okerayi","Houston Christian","Jr.","6-3","F","18","4","4","1.000"
"","Quin Rogers","Michigan","Sr.","5-10","M","14","4","4","1.000"
"","Zach Zengue","Georgetown","Sr.","5-9","M","22","4","4","1.000"
"","Tiago Barriguinha","Rhode Island","Jr.","6-1","M","17","3","3","1.000"
"","Patrick Cayelli","Penn","Sr.","5-10","M","17","3","3","1.000"
"","Steven Cordova","Presbyterian","Sr.","5-10","M","19","3","3","1.000"
"","Junior Diouf","Grand Canyon","Fr.","6-1","F","21","3","3","1.000"
"","Troy Elgersma","American","Sr.","6-3","M","16","3","3","1.000"
"","Carlos Hernando","West Virginia","Sr.","6-3","D","17","3","3","1.000"
"","Til Kauschke","Seton Hall","So.","6-2","M","19","3","3","1.000"
"","Kyle Macfarlane","St. Bonaventure","Jr.","6-0","M","15","3","3","1.000"
"","Drew Pierson","Detroit Mercy","Jr.","5-10","D","17","3","3","1.000"
"","David Raphael","San Francisco","So.","5-8","F","17","3","3","1.000"
"","Sivert Ryssdalsnes","Quinnipiac","So.","-","M","18","3","3","1.000"
"","Tim Strele","Saint Peter's","Sr.","6-1","F","15","3","3","1.000"
"","Duncan Sullivan","Navy","So.","5-9","M","11","3","3","1.000"
"","Trace Terry","Bowling Green","Sr.","6-2","F","17","3","3","1.000"
"","Bastian Toelhoej","Saint Mary's (CA)","Sr.","6-3","M","16","3","3","1.000"
"","Fernando Valenzuela","Cal St. Fullerton","Jr.","5-9","M","20","3","3","1.000"
"","Martin Wurschmidt","Evansville","So.","6-2","D","20","3","3","1.000"
"","Tim Allos","Oakland","Sr.","6-1","F","15","2","2","1.000"
"","Jefferson Amaya","High Point","Sr.","6-1","M","20","2","2","1.000"
"","Miguel Arilla","Creighton","Jr.","5-8","M","16","2","2","1.000"
"","Harun Bakaran","Xavier","Fr.","6-4","F","13","2","2","1.000"
"","Jad Benjelloun","St. John's (NY)","Jr.","6-0","M","9","2","2","1.000"
"","Marko Borkovic","Ohio St.","Sr.","5-11","M","8","2","2","1.000"
"","Anthony Boyadjian","LMU (CA)","Fr.","-","F","18","2","2","1.000"
"","Saad Chaouki","Memphis","Jr.","5-11","M","15","2","2","1.000"
"","Rhys Davies","Bellarmine","Sr.","6-1","D","17","2","2","1.000"
"","Alex De Nittis","Saint Francis","Jr.","5-8","F","11","2","2","1.000"
"","Simon Duus Muller","San Diego","Sr.","6-5","D","8","2","2","1.000"
"","Mukisa Emmanuel","SMU","Jr.","5-10","F","20","2","2","1.000"
"","Jeremy Francou","Kansas City","Jr.","6-0","F","21","2","2","1.000"
"","Liam Gainey","Western Ill.","Sr.","6-0","F","16","2","2","1.000"
"","Brady Geho","UMBC","So.","6-3","F","17","2","2","1.000"
"","Guilherme Gomes","St. John's (NY)","Fr.","6-2","D","18","2","2","1.000"
"","Misael Gonzalez Lopez","UC Irvine","Sr.","5-10","F","21","2","2","1.000"
"","Cason Goodman","UC Davis","Sr.","6-3","F","19","2","2","1.000"
"","Nil Grau","Utah Valley","Jr.","6-4","F","11","2","2","1.000"
"","Henry Hamilton","Manhattan","Sr.","5-8","F","16","2","2","1.000"
"","Diego Hernandez","Furman","Jr.","5-9","M","23","2","2","1.000"
"","Jose Antonio Herrera","IU Indy","Jr.","5-11","F","17","2","2","1.000"
"","Luca Iaccino","DePaul","So.","6-0","F","17","2","2","1.000"
"","Brock Kiper","Belmont","Jr.","6-5","F","17","2","2","1.000"
"","Jackson Kirsch","Drake","Jr.","5-10","M","8","2","2","1.000"
"","Theo Klein","Omaha","Sr.","5-11","F","12","2","2","1.000"
"","DJ Koulai","Bradley","Jr.","5-10","F","17","2","2","1.000"
"","Matt Lenert","Col. of Charleston","Jr.","6-4","F","17","2","2","1.000"
"","Agustin Lopez","Kentucky","So.","5-9","M","14","2","2","1.000"
"","Luka Lukic","California","Sr.","6-3","F","18","2","2","1.000"
"","Alvaro Maneiro","Iona","So.","5-10","M","18","2","2","1.000"
"","Rodrigo Mendes","UNC Asheville","Sr.","5-6","F","16","2","2","1.000"
"","Miles Merritt","Michigan St.","Jr.","5-10","M","15","2","2","1.000"
"","Jackson Miller","Cal Poly","Jr.","6-0","M","20","2","2","1.000"
"","Bjorn Nikolajewski","St. John's (NY)","Sr.","6-3","D","12","2","2","1.000"
"","Johan Nissen-Lie","Bellarmine","So.","6-3","F","17","2","2","1.000"
"","Terence Okoeguale","San Diego St.","Sr.","5-10","F","11","2","2","1.000"
"","Holger Olsson","Denver","Jr.","6-0","M","17","2","2","1.000"
"","Nico Pendleton","Marquette","So.","5-11","M","14","2","2","1.000"
"","Rai Pinto","Marshall","Jr.","5-9","D","19","2","2","1.000"
"","Agaton Pourshahidi","UC Irvine","Sr.","6-1","F","20","2","2","1.000"
"","Tyler Richardson","South Fla.","Jr.","5-11","M","17","2","2","1.000"
"","Taylor Rogers","Utah Tech","So.","5-10","F","17","2","2","1.000"
"","Nathan Simes","Wofford","Jr.","6-1","F","18","2","2","1.000"
"","Jorge Solorzano","CSUN","Jr.","5-9","M","12","2","2","1.000"
"","Ali Taleb","Northern Ky.","Jr.","6-1","F","16","2","2","1.000"
"","Arnaud Tattevin","UNC Greensboro","Jr.","5-10","F","23","2","2","1.000"
"","Matthew Zachemski","Wisconsin","So.","5-10","M","16","2","2","1.000"
"","Adam Abdelaal","Merrimack","So.","6-0","F","16","1","1","1.000"
"","Nacho Abeal","North Carolina","Sr.","5-8","M","20","1","1","1.000"
"","Christian Acevedo","UNCW","So.","6-2","F","16","1","1","1.000"
"","Chris Album","Green Bay","Sr.","6-0","F","16","1","1","1.000"
"","Joao Alves","Marshall","Fr.","-","-","21","1","1","1.000"
"","Jaime Amaro","Bryant","Fr.","5-7","-","22","1","1","1.000"
"","Gianni Angaran","Canisius","So.","5-11","M","16","1","1","1.000"
"","Thiago Apolinario","Marshall","Jr.","5-9","M","5","1","1","1.000"
"","Zachary Applewhite","Niagara","Sr.","6-0","D","13","1","1","1.000"
"","Alessandro Arlotti","Duke","Sr.","6-0","F","20","1","1","1.000"
"","Cameron Arnold","James Madison","Jr.","6-0","F","15","1","1","1.000"
"","Elias Arsvoll","Charlotte","So.","6-3","F","16","1","1","1.000"
"","Cesar Bahena","San Diego","Sr.","5-9","M","19","1","1","1.000"
"","Ethan Ballek","South Carolina","Sr.","6-0","M","17","1","1","1.000"
"","Luca Baltzer","Pacific","Sr.","6-1","M","17","1","1","1.000"
"","Vitor Baptistelli","Queens (NC)","Fr.","5-9","M","14","1","1","1.000"
"","Gustavo Barbosa","UAB","Sr.","5-7","D","11","1","1","1.000"
"","Alex Bazia","Gonzaga","So.","6-1","F","15","1","1","1.000"
"","João Belmudes","South Fla.","Sr.","5-9","M","15","1","1","1.000"
"","David Biggers","Denver","Jr.","5-9","M","12","1","1","1.000"
"","Ulfur Bjornsson","Duke","Jr.","6-3","F","17","1","1","1.000"
"","Steven Boaghe Braniste","Northern Ky.","Jr.","5-11","D","15","1","1","1.000"
"","Zach Bohane","Stanford","Sr.","5-10","M","19","1","1","1.000"
"","Silas Borgman","Northern Ky.","Jr.","5-7","M","16","1","1","1.000"
"","Caleb Borneo","Akron","So.","5-6","M","16","1","1","1.000"
"","Adam Boykin","Eastern Ill.","So.","5-11","F","16","1","1","1.000"
"","Gabriel Bracken Serra","North Carolina","Sr.","5-9","F","18","1","1","1.000"
"","Joaquín Brizuela","Kentucky","So.","6-2","F","19","1","1","1.000"
"","Owen Burke","Stonehill","Sr.","5-11","M","18","1","1","1.000"
"","Jack Burkhardt","Boston College","Jr.","6-0","MD","17","1","1","1.000"
"","Daniel Burko","Hofstra","Sr.","6-3","F","20","1","1","1.000"
"","Marcus Caldeira","West Virginia","Sr.","6-2","F","21","1","1","1.000"
"","Juan Cardona","Niagara","Sr.","6-2","M","15","1","1","1.000"
"","Mario Carlos","Cal St. Fullerton","Sr.","6-0","F","19","1","1","1.000"
"","Evan Carlson","Drake","Sr.","5-8","F","17","1","1","1.000"
"","Westin Carnevale","Cornell","Sr.","5-10","M","20","1","1","1.000"
"","Emilio Cazares","Oral Roberts","Sr.","-","F","16","1","1","1.000"
"","Isaiah Chisolm","Kentucky","Jr.","6-3","F","17","1","1","1.000"
"","Rowen Choi","VMI","Fr.","5-7","M","9","1","1","1.000"
"","Alexander Clive Vokes","UAlbany","Fr.","-","M","17","1","1","1.000"
"","Eli Conway","Fla. Atlantic","Sr.","6-0","F","17","1","1","1.000"
"","Mitch Coughlon","Bradley","Jr.","6-2","F","17","1","1","1.000"
"","Jonah Craig","UNLV","Sr.","-","M","16","1","1","1.000"
"","Louis Crofts","George Washington","So.","5-11","F","17","1","1","1.000"
"","Alberto Cruz","Pacific","Sr.","5-11","F","17","1","1","1.000"
"","Gavin Csiszar","Lindenwood","Sr.","5-10","M","21","1","1","1.000"
"","Kevin Cull","Holy Cross","Jr.","6-0","M","17","1","1","1.000"
"","Harry Dale","Ga. Southern","So.","6-0","M","10","1","1","1.000"
"","Taylor Davis","NIU","Sr.","5-10","F","4","1","1","1.000"
"","Andrew De Gannes","Oregon St.","Sr.","5-9","D","17","1","1","1.000"
"","Jack De Simone","Army West Point","Fr.","6-1","F","18","1","1","1.000"
"","Jacob Deever","Cleveland St.","Sr.","5-8","M","18","1","1","1.000"
"","Sam Delgado","William & Mary","Sr.","-","F","16","1","1","1.000"
