Team,Games,Wins,Losses,Ties,WinPct,TotalGoals,GoalsPerGame,TotalAssists,AssistsPerGame,TotalPoints,PointsPerGame,GoalDiff,ShotAttempts,ShotsPerGame,ShotsOnGoal,ShotsOnGoalPerGame,ShotAccuracyPct,Corners,CornersPerGame,PKGoals,PKAttempts,PKPct,TotalFouls,FoulsPerGame,YellowCards,RedCards,TotalSaves,SavesPerGame,SavePct,TeamMinutes,GoalsAgainst,GAA,Shutouts,ShutoutPct
Manhattan,16,4,8,4,0.375,21,1.31,21,1.31,63,3.94,-6,157,9.81,74,4.63,0.471,59,3.69,2,3,0.667,175,10.94,37,3,85,5.31,0.759,1440:00,27,1.688,5,0.313
UIW,18,5,7,6,0.444,16,0.89,13,0.72,45,2.50,-4,185,10.28,85,4.72,0.459,66,3.67,1,1,1.000,146,8.11,44,2,83,4.61,0.806,1620:00,20,1.111,6,0.333
New Hampshire,18,5,8,5,0.417,18,1.00,16,0.89,52,2.89,-7,188,10.44,74,4.11,0.394,66,3.67,1,1,1.000,199,11.06,32,4,69,3.83,0.734,1647:43,25,1.366,5,0.278
Western Ill.,20,5,11,4,0.350,17,0.85,13,0.65,47,2.35,-16,192,9.60,86,4.30,0.448,73,3.65,2,3,0.667,179,8.95,32,2,97,4.85,0.746,1800:00,33,1.650,4,0.200
Robert Morris,17,6,4,7,0.559,26,1.53,34,2.00,86,5.06,6,194,11.41,82,4.82,0.423,62,3.65,2,4,0.500,244,14.35,31,0,64,3.76,0.762,1530:00,20,1.176,6,0.353
IU Indy,17,6,8,3,0.441,17,1.00,18,1.06,52,3.06,-5,181,10.65,74,4.35,0.409,62,3.65,2,3,0.667,235,13.82,38,3,60,3.53,0.732,1485:00,22,1.333,3,0.176
Coastal Carolina,14,3,9,2,0.286,17,1.21,19,1.36,53,3.79,-9,129,9.21,46,3.29,0.357,51,3.64,0,0,0.000,186,13.29,34,0,57,4.07,0.687,1280:00,26,1.828,2,0.143
VMI,18,3,12,3,0.250,18,1.00,13,0.72,49,2.72,-21,152,8.44,68,3.78,0.447,65,3.61,2,2,1.000,227,12.61,30,2,90,5.00,0.698,1620:00,39,2.167,2,0.111
UMass Lowell,18,7,7,4,0.500,20,1.11,18,1.00,58,3.22,-7,201,11.17,93,5.17,0.463,65,3.61,1,3,0.333,242,13.44,36,1,66,3.67,0.710,1640:00,27,1.482,6,0.333
UTRGV,10,1,7,2,0.200,11,1.10,8,0.80,30,3.00,-9,81,8.10,46,4.60,0.568,36,3.60,1,1,1.000,115,11.50,22,3,31,3.10,0.608,900:00,20,2.000,1,0.100
Dartmouth,14,3,8,3,0.321,16,1.14,10,0.71,42,3.00,-11,101,7.21,46,3.29,0.455,50,3.57,1,1,1.000,158,11.29,28,2,61,4.36,0.693,1260:00,27,1.929,1,0.071
Loyola Maryland,16,3,10,3,0.281,11,0.69,14,0.88,36,2.25,-16,162,10.13,59,3.69,0.364,57,3.56,0,0,0.000,207,12.94,38,2,46,2.88,0.630,1440:00,27,1.688,4,0.250
Winthrop,16,1,12,3,0.156,8,0.50,5,0.31,21,1.31,-28,139,8.69,47,2.94,0.338,57,3.56,0,0,0.000,171,10.69,21,0,86,5.38,0.705,1440:00,36,2.250,1,0.063
Georgia St.,18,4,8,6,0.389,24,1.33,22,1.22,70,3.89,-7,211,11.72,98,5.44,0.464,64,3.56,0,0,0.000,170,9.44,20,1,72,4.00,0.699,1620:00,31,1.722,1,0.056
Drake,17,8,2,7,0.676,23,1.35,22,1.29,68,4.00,10,187,11.00,77,4.53,0.412,60,3.53,4,5,0.800,202,11.88,32,1,45,2.65,0.776,1550:00,13,0.755,8,0.471
UNLV,16,4,6,6,0.438,16,1.00,18,1.13,50,3.13,-8,122,7.63,49,3.06,0.402,56,3.50,1,2,0.500,173,10.81,25,0,56,3.50,0.700,1440:00,24,1.500,5,0.313
Northeastern,15,4,7,4,0.400,17,1.13,19,1.27,53,3.53,-6,151,10.07,65,4.33,0.430,52,3.47,1,1,1.000,200,13.33,31,4,64,4.27,0.736,1350:00,23,1.533,2,0.133
UC San Diego,18,2,9,7,0.306,10,0.56,7,0.39,27,1.50,-18,186,10.33,68,3.78,0.366,62,3.44,0,0,0.000,199,11.06,28,3,87,4.83,0.757,1620:00,28,1.556,3,0.167
Central Ark.,16,4,10,2,0.313,19,1.19,19,1.19,57,3.56,-17,156,9.75,74,4.63,0.474,55,3.44,0,0,0.000,173,10.81,29,4,103,6.44,0.741,1440:00,36,2.250,2,0.125
Utah Tech,17,4,7,6,0.412,22,1.29,24,1.41,68,4.00,-9,173,10.18,79,4.65,0.457,58,3.41,3,3,1.000,240,14.12,32,3,65,3.82,0.677,1530:00,31,1.824,4,0.235
Xavier,15,5,6,4,0.467,24,1.60,16,1.07,64,4.27,2,170,11.33,79,5.27,0.465,50,3.33,7,8,0.875,188,12.53,26,3,63,4.20,0.741,1350:00,22,1.467,4,0.267
Cleveland St.,19,9,4,6,0.632,27,1.42,31,1.63,85,4.47,8,198,10.42,77,4.05,0.389,63,3.32,2,3,0.667,170,8.95,31,1,63,3.32,0.768,1723:44,19,0.992,6,0.316
Queens (NC),17,5,6,6,0.471,13,0.76,10,0.59,36,2.12,-7,177,10.41,73,4.29,0.412,51,3.00,1,1,1.000,213,12.53,41,0,73,4.29,0.785,1530:00,20,1.176,6,0.353
LIU,18,8,3,7,0.639,24,1.33,21,1.17,69,3.83,8,193,10.72,94,5.22,0.487,53,2.94,0,1,0.000,182,10.11,35,1,71,3.94,0.816,1620:00,16,0.889,8,0.444
Southern Ind.,17,2,10,5,0.265,18,1.06,18,1.06,54,3.18,-28,121,7.12,61,3.59,0.504,49,2.88,2,4,0.500,184,10.82,40,1,104,6.12,0.693,1530:00,46,2.706,1,0.059
Yale,15,3,9,3,0.300,11,0.73,13,0.87,35,2.33,-15,132,8.80,54,3.60,0.409,42,2.80,2,2,1.000,179,11.93,27,0,64,4.27,0.711,1350:00,26,1.733,2,0.133
Lafayette,22,8,7,7,0.523,18,0.82,12,0.55,48,2.18,-4,216,9.82,78,3.55,0.361,56,2.55,3,5,0.600,274,12.45,45,3,79,3.59,0.782,2001:54,22,0.989,9,0.409
Chicago St.,17,1,15,1,0.088,7,0.41,9,0.53,23,1.35,-52,129,7.59,52,3.06,0.403,40,2.35,0,0,0.000,194,11.41,32,3,88,5.18,0.599,1530:00,59,3.471,2,0.118
