 


  
  

NCAA Men's Soccer
Division ICorner Kicks Per Game
Through Games 12/15/2025


"Rank","Name","Team Games","W-L","Corners","Per Game"
"","FIU","19","7-9-3","0","0","0.000"
"","FDU","21","13-5-3","0","0","0.000"
"","Duquesne","16","8-6-2","0","0","0.000"
"","Drexel","16","4-6-6","0","0","0.000"
"","Coastal Carolina","14","3-9-2","0","0","0.000"
"","Chicago St.","17","1-15-1","0","0","0.000"
"","UC San Diego","18","2-9-7","0","0","0.000"
"","UC Riverside","17","4-9-4","0","0","0.000"
"","UC Santa Barbara","20","7-5-8","0","0","0.000"
"","Loyola Maryland","16","3-10-3","0","0","0.000"
Reclassifying
"NR","Mercyhurst","17","3-10-4","2","2","1.000"
"NR","Le Moyne","17","5-10-2","1","2","0.500"
"NR","New Haven","16","5-5-6","0","0","0.000"

NCAA Men's Soccer
Division IGoal Differential
Through Games 12/15/2025


"Rank","Name","Team Games","W-L","Goals","GA","Diff"
"1","NC State","23","16-3-4","51","13","38"
"2","Delaware","17","12-2-3","48","11","37"
"3","Georgetown","22","14-4-4","52","18","34"
"","High Point","20","14-2-4","49","15","34"
"5","Portland","20","14-2-4","43","12","31"
"","Lindenwood","21","14-3-4","42","11","31"
"7","Bryant","22","17-2-3","44","14","30"
"8","Furman","23","16-2-5","51","22","29"
"","Washington","24","16-6-2","54","25","29"
"10","Cornell","20","14-4-2","42","14","28"
"11","Maryland","19","13-2-4","45","18","27"
"","Princeton","19","15-2-2","34","7","27"
"13","Vermont","20","14-1-5","41","15","26"
"","Grand Canyon","23","14-4-5","43","17","26"
"15","Duke","20","10-4-6","38","16","22"
"16","Charlotte","16","8-4-4","33","12","21"
"","Indiana","19","12-6-1","46","25","21"
"18","Stanford","20","14-4-2","37","17","20"
"","Hofstra","20","14-5-1","40","20","20"
"","UNC Greensboro","23","12-5-6","45","25","20"
"","San Diego","19","13-3-3","36","16","20"
"","FDU","21","13-5-3","38","18","20"
"23","Gardner-Webb","18","13-3-2","34","15","19"
"","West Virginia","21","13-5-3","45","26","19"
"25","Akron","21","13-5-3","33","15","18"
"","North Florida","19","12-5-2","38","20","18"
"27","Michigan","20","12-4-4","36","19","17"
"","Penn","17","8-5-4","29","12","17"
"","San Jose St.","20","12-4-4","38","21","17"
"","California Baptist","17","10-4-3","38","21","17"
"31","Bellarmine","17","8-4-5","34","18","16"
"","Dayton","18","8-2-8","31","15","16"
"","Iona","18","9-4-5","35","19","16"
"","Marshall","21","12-4-5","40","24","16"
"35","Cal Poly","20","9-6-5","30","15","15"
"","St. John's (NY)","19","9-6-4","36","21","15"
"","Belmont","17","8-3-6","28","13","15"
"","Campbell","20","10-6-4","41","26","15"
"39","UIC","18","10-3-5","39","25","14"
"","Oregon St.","17","10-5-2","41","27","14"
"","Fla. Atlantic","18","12-4-2","36","22","14"
"","Clemson","17","8-6-3","37","23","14"
"","Utah Valley","15","8-4-3","31","17","14"
"","Kansas City","21","12-4-5","34","20","14"
"","Virginia","19","12-2-5","33","19","14"
"","Seton Hall","19","7-4-8","30","16","14"
"","SMU","20","11-5-4","34","20","14"
"","North Carolina","20","9-5-6","31","17","14"
"49","UCF","21","11-7-3","40","27","13"
"","Houston Christian","19","11-5-3","28","15","13"
"51","Wake Forest","17","7-4-6","39","27","12"
"","Fairfield","18","8-5-5","33","21","12"
"","Liberty","20","9-5-6","36","24","12"
"54","Sacred Heart","18","9-4-5","32","21","11"
"","Saint Louis","24","13-3-8","30","19","11"
"","Elon","19","9-3-7","22","11","11"
"","UC Irvine","21","11-4-6","29","18","11"
"","UCLA","19","8-6-5","32","21","11"
"","UConn","21","12-5-4","35","24","11"
"","Ga. Southern","18","13-4-1","27","16","11"
"","Purdue Fort Wayne","17","8-3-6","27","16","11"
"","NIU","17","8-5-4","30","19","11"
"63","Stony Brook","19","9-5-5","32","22","10"
"","Drake","17","8-2-7","23","13","10"
"","Denver","22","12-7-3","38","28","10"
"66","Kentucky","19","10-4-5","27","18","9"
"","Evansville","20","7-5-8","28","19","9"
"68","Jacksonville","18","6-7-5","27","19","8"
"","South Fla.","17","9-3-5","33","25","8"
"","Old Dominion","18","5-5-8","32","24","8"
"","LIU","18","8-3-7","24","16","8"
"","Boston College","17","7-9-1","31","23","8"
"","Bucknell","18","9-4-5","29","21","8"
"","Cleveland St.","19","9-4-6","27","19","8"
"75","Massachusetts","17","6-5-6","27","21","6"
"","Robert Morris","17","6-4-7","26","20","6"
"","Army West Point","18","7-6-5","25","19","6"
"78","San Francisco","17","10-6-1","26","21","5"
"","Creighton","16","8-4-4","21","16","5"
"","Virginia Tech","16","7-4-5","24","19","5"
"81","Marist","16","8-4-4","27","23","4"
"","Missouri St.","16","6-6-4","21","17","4"
"","Marquette","16","7-7-2","25","21","4"
"","Boston U.","18","10-8","30","26","4"
"","Fordham","18","8-6-4","29","25","4"
"","Duquesne","16","8-6-2","23","19","4"
"87","Siena","19","9-5-5","31","28","3"
"","Penn St.","17","5-8-4","27","24","3"
"","UMBC","17","6-6-5","20","17","3"
"","Milwaukee","19","4-7-8","32","29","3"
"91","St. Thomas (MN)","17","7-5-5","24","22","2"
"","Harvard","17","6-6-5","23","21","2"
"","Providence","16","6-7-3","23","21","2"
"","American","18","8-8-2","23","21","2"
"","Green Bay","18","9-7-2","23","21","2"
"","Northwestern","17","8-6-3","22","20","2"
"","Xavier","15","5-6-4","24","22","2"
"","Davidson","19","9-7-3","25","23","2"
"","George Mason","16","7-6-3","32","30","2"
"100","Notre Dame","20","9-7-4","26","25","1"
"","LMU (CA)","18","5-6-7","31","30","1"
"","UC Santa Barbara","20","7-5-8","21","20","1"
"","Cal St. Fullerton","20","8-6-6","32","31","1"
"","FGCU","16","6-7-3","23","22","1"
"","Syracuse","20","9-8-3","24","23","1"
"","Rhode Island","17","4-8-5","26","25","1"
"107","California","18","8-8-2","26","26","0"
"","Lehigh","20","9-5-6","30","30","0"
"","Louisville","17","5-7-5","18","18","0"
"","Wisconsin","16","8-8","22","22","0"
"","Santa Clara","18","6-5-7","23","23","0"
"","Villanova","18","7-6-5","24","24","0"
"","Rutgers","17","8-6-3","28","28","0"
"114","La Salle","17","4-5-8","25","26","-1"
"","Stetson","17","6-8-3","23","24","-1"
"","Columbia","15","3-8-4","18","19","-1"
"117","UAlbany","17","5-6-6","20","22","-2"
"","CSUN","18","6-6-6","11","13","-2"
"","Saint Joseph's","18","6-7-5","21","23","-2"
"120","UNC Asheville","16","7-7-2","21","24","-3"
"","Merrimack","16","4-9-3","22","25","-3"
"","Western Mich.","22","8-10-4","29","32","-3"
"","Pittsburgh","18","6-7-5","20","23","-3"
"124","San Diego St.","18","7-9-2","20","24","-4"
"","Niagara","16","8-7-1","23","27","-4"
"","Lafayette","22","8-7-7","18","22","-4"
"","Holy Cross","18","4-8-6","19","23","-4"
"","Brown","15","6-7-2","17","21","-4"
"","UAB","15","6-7-2","22","26","-4"
"","UIW","18","5-7-6","16","20","-4"
"","Michigan St.","16","5-8-3","19","23","-4"
"132","UC Riverside","17","4-9-4","21","26","-5"
"","Drexel","16","4-6-6","18","23","-5"
"","FIU","19","7-9-3","24","29","-5"
"","Loyola Chicago","16","4-5-7","17","22","-5"
"","Col. of Charleston","17","6-8-3","22","27","-5"
"","Presbyterian","20","7-8-5","26","31","-5"
"","IU Indy","17","6-8-3","17","22","-5"
"139","Manhattan","16","4-8-4","21","27","-6"
"","Northeastern","15","4-7-4","17","23","-6"
"","Seattle U","17","4-7-6","31","37","-6"
"","SIUE","19","6-11-2","19","25","-6"
"","VCU","17","6-6-5","22","28","-6"
"","Saint Francis","18","8-9-1","24","30","-6"
"145","Mercer","18","5-9-4","21","28","-7"
"","Georgia St.","18","4-8-6","24","31","-7"
"","Gonzaga","16","5-8-3","20","27","-7"
"","Queens (NC)","17","5-6-6","13","20","-7"
"","UMass Lowell","18","7-7-4","20","27","-7"
"","New Hampshire","18","5-8-5","18","25","-7"
"","Oakland","18","3-9-6","20","27","-7"
"152","Memphis","15","4-8-3","19","27","-8"
"","UC Davis","19","4-9-6","20","28","-8"
"","Colgate","17","5-7-5","9","17","-8"
"","Tulsa","18","5-9-4","15","23","-8"
"","UNLV","16","4-6-6","16","24","-8"
"","Northern Ky.","17","4-10-3","14","22","-8"
"","South Carolina","18","7-9-2","26","34","-8"
"","Monmouth","16","5-8-3","18","26","-8"
"160","Bowling Green","17","5-8-4","16","25","-9"
"","Coastal Carolina","14","3-9-2","17","26","-9"
"","ETSU","15","2-9-4","18","27","-9"
"","Utah Tech","17","4-7-6","22","31","-9"
"","St. Bonaventure","15","3-9-3","23","32","-9"
"","Saint Mary's (CA)","16","2-8-6","15","24","-9"
"","Saint Peter's","16","4-10-2","21","30","-9"
"","Navy","18","3-8-7","17","26","-9"
"","UTRGV","10","1-7-2","11","20","-9"
"169","Eastern Ill.","17","4-9-4","16","26","-10"
"","USC Upstate","19","5-11-3","28","38","-10"
"","UNCW","16","5-9-2","21","31","-10"
"172","Dartmouth","14","3-8-3","16","27","-11"
"173","Detroit Mercy","18","5-10-3","18","30","-12"
"","Oral Roberts","17","4-10-3","14","26","-12"
"","Ohio St.","16","6-10","17","29","-12"
"176","NJIT","17","3-9-5","8","21","-13"
"","Wofford","19","6-11-2","30","43","-13"
"","Quinnipiac","18","7-10-1","25","38","-13"
"179","Butler","17","5-10-2","17","31","-14"
"","Mount St. Mary's","17","3-9-5","15","29","-14"
"","Longwood","16","3-8-5","20","34","-14"
"","DePaul","17","2-8-7","20","34","-14"
"183","Bradley","17","2-9-6","22","37","-15"
"","Yale","15","3-9-3","11","26","-15"
"","James Madison","16","1-10-5","10","25","-15"
"186","Canisius","16","5-10-1","16","32","-16"
"","Western Ill.","20","5-11-4","17","33","-16"
"","Rider","17","2-11-4","17","33","-16"
"","Loyola Maryland","16","3-10-3","11","27","-16"
"190","George Washington","17","2-11-4","14","31","-17"
"","Lipscomb","17","2-9-6","16","33","-17"
"","Central Ark.","16","4-10-2","19","36","-17"
"","Omaha","16","3-9-4","17","34","-17"
"194","CSU Bakersfield","17","3-11-3","14","32","-18"
"","Radford","17","2-11-4","17","35","-18"
"","UC San Diego","18","2-9-7","10","28","-18"
"197","Howard","18","5-11-2","18","37","-19"
"198","Wright St.","16","2-13-1","16","36","-20"
"","Stonehill","18","5-10-3","16","36","-20"
"200","VMI","18","3-12-3","18","39","-21"
"","Binghamton","17","4-13","12","33","-21"
"202","Pacific","18","4-14","19","42","-23"
"203","Sacramento St.","18","2-12-4","13","38","-25"
"204","Air Force","17","1-13-3","12","38","-26"
"","Central Conn. St.","17","1-14-2","11","37","-26"
"206","Winthrop","16","1-12-3","8","36","-28"
"","Southern Ind.","17","2-10-5","18","46","-28"
"208","William & Mary","16","2-10-4","12","41","-29"
"","Temple","16","1-13-2","8","37","-29"
"210","Chicago St.","17","1-15-1","7","59","-52"
Reclassifying
"NR","New Haven","16","5-5-6","16","20","-4"
"NR","Le Moyne","17","5-10-2","20","27","-7"
"NR","Mercyhurst","17","3-10-4","18","27","-9"

NCAA Men's Soccer
Division IShot Accuracy
Through Games 12/15/2025


"Rank","Name","Team Games","W-L","SoG","ShAtt","Goals","Pct."
"1","UTRGV","10","1-7-2","46","81","11","0.568"
"2","FGCU","16","6-7-3","81","157","23","0.516"
"3","Old Dominion","18","5-5-8","120","233","32","0.515"
"4","Saint Francis","18","8-9-1","79","154","24","0.513"
"5","Southern Ind.","17","2-10-5","61","121","18","0.504"
"6","Bucknell","18","9-4-5","114","232","29","0.491"
"7","West Virginia","21","13-5-3","151","308","45","0.490"
"8","LIU","18","8-3-7","94","193","24","0.487"
"9","Jacksonville","18","6-7-5","108","222","27","0.486"
"10","FDU","21","13-5-3","124","255","38","0.486"
"11","Delaware","17","12-2-3","124","256","48","0.484"
"12","William & Mary","16","2-10-4","75","155","12","0.484"
"13","Boston U.","18","10-8","101","212","30","0.476"
"14","Georgetown","22","14-4-4","163","343","52","0.475"
"15","Central Ark.","16","4-10-2","74","156","19","0.474"
"16","Liberty","20","9-5-6","136","287","36","0.474"
"17","Sacred Heart","18","9-4-5","114","241","32","0.473"
"18","Manhattan","16","4-8-4","74","157","21","0.471"
"19","Saint Peter's","16","4-10-2","88","187","21","0.471"
"20","Niagara","16","8-7-1","86","183","23","0.470"
"21","Bryant","22","17-2-3","125","266","44","0.470"
"","Portland","20","14-2-4","125","266","43","0.470"
"23","Massachusetts","17","6-5-6","107","228","27","0.469"
"24","UNC Asheville","16","7-7-2","67","143","21","0.469"
"25","Stonehill","18","5-10-3","114","244","16","0.467"
"26","Pacific","18","4-14","78","167","19","0.467"
"27","Elon","19","9-3-7","84","180","22","0.467"
"28","Charlotte","16","8-4-4","106","228","33","0.465"
"29","Marshall","21","12-4-5","132","284","40","0.465"
"30","Xavier","15","5-6-4","79","170","24","0.465"
"31","Georgia St.","18","4-8-6","98","211","24","0.464"
"32","UMass Lowell","18","7-7-4","93","201","20","0.463"
"33","VCU","17","6-6-5","88","191","22","0.461"
"34","UIW","18","5-7-6","85","185","16","0.459"
"35","Belmont","17","8-3-6","73","159","28","0.459"
"36","ETSU","15","2-9-4","67","146","18","0.459"
"37","Washington","24","16-6-2","172","375","54","0.459"
"38","Tulsa","18","5-9-4","88","192","15","0.458"
"39","Siena","19","9-5-5","97","212","31","0.458"
"40","Utah Tech","17","4-7-6","79","173","22","0.457"
"41","Dartmouth","14","3-8-3","46","101","16","0.455"
"42","Central Conn. St.","17","1-14-2","86","189","11","0.455"
"43","St. Thomas (MN)","17","7-5-5","85","187","24","0.455"
"44","Howard","18","5-11-2","64","141","18","0.454"
"45","Lehigh","20","9-5-6","94","208","30","0.452"
"46","Houston Christian","19","11-5-3","120","266","28","0.451"
"47","Wofford","19","6-11-2","91","202","30","0.450"
"48","Western Ill.","20","5-11-4","86","192","17","0.448"
"49","VMI","18","3-12-3","68","152","18","0.447"
"50","Seton Hall","19","7-4-8","89","199","30","0.447"
"51","Penn","17","8-5-4","116","260","29","0.446"
"52","Bellarmine","17","8-4-5","95","213","34","0.446"
"53","High Point","20","14-2-4","130","292","49","0.445"
"54","Longwood","16","3-8-5","83","187","20","0.444"
"55","Stony Brook","19","9-5-5","109","246","32","0.443"
"56","Presbyterian","20","7-8-5","88","199","26","0.442"
"57","Merrimack","16","4-9-3","76","172","22","0.442"
"58","Hofstra","20","14-5-1","121","274","40","0.442"
"59","La Salle","17","4-5-8","105","238","25","0.441"
"60","UIC","18","10-3-5","148","336","39","0.440"
"61","Providence","16","6-7-3","91","207","23","0.440"
"62","American","18","8-8-2","69","157","23","0.439"
"63","Davidson","19","9-7-3","97","221","25","0.439"
"","UNCW","16","5-9-2","97","221","21","0.439"
"65","Campbell","20","10-6-4","121","277","41","0.437"
"66","St. Bonaventure","15","3-9-3","85","195","23","0.436"
"67","Eastern Ill.","17","4-9-4","95","218","16","0.436"
"68","Purdue Fort Wayne","17","8-3-6","107","246","27","0.435"
"69","Denver","22","12-7-3","109","251","38","0.434"
"70","Gonzaga","16","5-8-3","69","159","20","0.434"
"","Green Bay","18","9-7-2","92","212","23","0.434"
"72","Oregon St.","17","10-5-2","108","249","41","0.434"
"73","Marist","16","8-4-4","119","275","27","0.433"
"74","Ga. Southern","18","13-4-1","91","211","27","0.431"
"75","Milwaukee","19","4-7-8","115","267","32","0.431"
"76","Northeastern","15","4-7-4","65","151","17","0.430"
"77","South Fla.","17","9-3-5","85","198","33","0.429"
"78","UMBC","17","6-6-5","80","187","20","0.428"
"79","Kentucky","19","10-4-5","97","227","27","0.427"
"80","North Florida","19","12-5-2","108","253","38","0.427"
"81","Oakland","18","3-9-6","90","211","20","0.427"
"82","Quinnipiac","18","7-10-1","98","230","25","0.426"
"83","Omaha","16","3-9-4","60","141","17","0.426"
"84","Memphis","15","4-8-3","65","153","19","0.425"
"85","Saint Louis","24","13-3-8","114","269","30","0.424"
"86","Air Force","17","1-13-3","69","163","12","0.423"
"87","Evansville","20","7-5-8","102","241","28","0.423"
"88","UNC Greensboro","23","12-5-6","135","319","45","0.423"
"89","Indiana","19","12-6-1","129","305","46","0.423"
"90","Robert Morris","17","6-4-7","82","194","26","0.423"
"91","Furman","23","16-2-5","131","311","51","0.421"
"92","UConn","21","12-5-4","111","264","35","0.420"
"","Mount St. Mary's","17","3-9-5","74","176","15","0.420"
"94","Vermont","20","14-1-5","113","269","41","0.420"
"95","Iona","18","9-4-5","105","250","35","0.420"
"96","Western Mich.","22","8-10-4","118","281","29","0.420"
"97","Gardner-Webb","18","13-3-2","123","293","34","0.420"
"98","UCF","21","11-7-3","120","286","40","0.420"
"99","Monmouth","16","5-8-3","73","174","18","0.420"
"100","Northwestern","17","8-6-3","99","236","22","0.419"
"101","Virginia Tech","16","7-4-5","103","246","24","0.419"
"102","Penn St.","17","5-8-4","97","232","27","0.418"
"103","UCLA","19","8-6-5","83","199","32","0.417"
"104","Rider","17","2-11-4","72","173","17","0.416"
"105","California","18","8-8-2","101","243","26","0.416"
"106","Cornell","20","14-4-2","166","402","42","0.413"
"107","Queens (NC)","17","5-6-6","73","177","13","0.412"
"108","LMU (CA)","18","5-6-7","87","211","31","0.412"
"109","Brown","15","6-7-2","61","148","17","0.412"
"110","Drake","17","8-2-7","77","187","23","0.412"
"","Dayton","18","8-2-8","112","272","31","0.412"
"","California Baptist","17","10-4-3","105","255","38","0.412"
"113","Drexel","16","4-6-6","69","168","18","0.411"
"114","Lindenwood","21","14-3-4","132","322","42","0.410"
"115","Maryland","19","13-2-4","125","305","45","0.410"
"116","Yale","15","3-9-3","54","132","11","0.409"
"117","IU Indy","17","6-8-3","74","181","17","0.409"
"118","NIU","17","8-5-4","112","275","30","0.407"
"119","Detroit Mercy","18","5-10-3","77","190","18","0.405"
"120","Rutgers","17","8-6-3","88","218","28","0.404"
"","NC State","23","16-3-4","176","436","51","0.404"
"122","James Madison","16","1-10-5","50","124","10","0.403"
"123","Chicago St.","17","1-15-1","52","129","7","0.403"
"124","Oral Roberts","17","4-10-3","58","144","14","0.403"
"125","UNLV","16","4-6-6","49","122","16","0.402"
"126","UAB","15","6-7-2","61","152","22","0.401"
"127","Col. of Charleston","17","6-8-3","71","177","22","0.401"
"128","Marquette","16","7-7-2","99","247","25","0.401"
"129","Bowling Green","17","5-8-4","70","175","16","0.400"
"","St. John's (NY)","19","9-6-4","106","265","36","0.400"
"","Boston College","17","7-9-1","96","240","31","0.400"
"132","Fordham","18","8-6-4","107","268","29","0.399"
"133","SIUE","19","6-11-2","87","218","19","0.399"
"134","Saint Joseph's","18","6-7-5","75","188","21","0.399"
"135","Temple","16","1-13-2","45","113","8","0.398"
"136","UAlbany","17","5-6-6","78","196","20","0.398"
"137","Seattle U","17","4-7-6","66","166","31","0.398"
"138","Wright St.","16","2-13-1","64","161","16","0.398"
"139","Fla. Atlantic","18","12-4-2","87","220","36","0.395"
"140","UC Riverside","17","4-9-4","80","203","21","0.394"
"141","Fairfield","18","8-5-5","93","236","33","0.394"
"142","New Hampshire","18","5-8-5","74","188","18","0.394"
"143","Bradley","17","2-9-6","81","206","22","0.393"
"144","Duquesne","16","8-6-2","75","191","23","0.393"
"145","Army West Point","18","7-6-5","73","186","25","0.392"
"146","Syracuse","20","9-8-3","102","260","24","0.392"
"147","SMU","20","11-5-4","105","268","34","0.392"
"148","Cal Poly","20","9-6-5","88","225","30","0.391"
"149","FIU","19","7-9-3","86","220","24","0.391"
"150","Notre Dame","20","9-7-4","90","231","26","0.390"
"151","Kansas City","21","12-4-5","95","244","34","0.389"
"152","Cleveland St.","19","9-4-6","77","198","27","0.389"
"153","Grand Canyon","23","14-4-5","127","327","43","0.388"
"154","George Washington","17","2-11-4","71","183","14","0.388"
"155","Wisconsin","16","8-8","60","155","22","0.387"
"156","Michigan St.","16","5-8-3","74","192","19","0.385"
"157","Creighton","16","8-4-4","84","218","21","0.385"
"158","Utah Valley","15","8-4-3","91","237","31","0.384"
"159","Butler","17","5-10-2","76","198","17","0.384"
"160","Radford","17","2-11-4","56","146","17","0.384"
"161","Santa Clara","18","6-5-7","78","204","23","0.382"
"162","Northern Ky.","17","4-10-3","77","202","14","0.381"
"163","Virginia","19","12-2-5","107","281","33","0.381"
"164","Michigan","20","12-4-4","104","274","36","0.380"
"165","Missouri St.","16","6-6-4","64","169","21","0.379"
"166","Wake Forest","17","7-4-6","90","238","39","0.378"
"167","Sacramento St.","18","2-12-4","69","183","13","0.377"
"168","Stanford","20","14-4-2","144","382","37","0.377"
"169","Duke","20","10-4-6","135","360","38","0.375"
"","South Carolina","18","7-9-2","81","216","26","0.375"
"171","Stetson","17","6-8-3","72","193","23","0.373"
"172","San Jose St.","20","12-4-4","107","287","38","0.373"
"173","Pittsburgh","18","6-7-5","71","191","20","0.372"
"174","Clemson","17","8-6-3","102","275","37","0.371"
"175","George Mason","16","7-6-3","82","222","32","0.369"
"176","USC Upstate","19","5-11-3","87","237","28","0.367"
"177","North Carolina","20","9-5-6","102","278","31","0.367"
"178","San Diego","19","13-3-3","99","270","36","0.367"
"179","UC San Diego","18","2-9-7","68","186","10","0.366"
"180","Mercer","18","5-9-4","69","189","21","0.365"
"181","Rhode Island","17","4-8-5","73","200","26","0.365"
"182","Princeton","19","15-2-2","116","318","34","0.365"
"183","Loyola Maryland","16","3-10-3","59","162","11","0.364"
"184","Canisius","16","5-10-1","48","132","16","0.364"
"185","Holy Cross","18","4-8-6","77","212","19","0.363"
"186","Colgate","17","5-7-5","61","168","9","0.363"
"187","NJIT","17","3-9-5","78","215","8","0.363"
"188","San Francisco","17","10-6-1","87","240","26","0.363"
"189","UC Davis","19","4-9-6","105","290","20","0.362"
"190","Lafayette","22","8-7-7","78","216","18","0.361"
"191","UC Irvine","21","11-4-6","90","250","29","0.360"
"192","Louisville","17","5-7-5","76","212","18","0.358"
"193","Coastal Carolina","14","3-9-2","46","129","17","0.357"
"194","Ohio St.","16","6-10","82","230","17","0.357"
"195","Harvard","17","6-6-5","72","202","23","0.356"
"196","Akron","21","13-5-3","99","278","33","0.356"
"197","San Diego St.","18","7-9-2","79","222","20","0.356"
"198","CSU Bakersfield","17","3-11-3","64","180","14","0.356"
"199","UC Santa Barbara","20","7-5-8","105","296","21","0.355"
"200","Navy","18","3-8-7","69","196","17","0.352"
"201","Cal St. Fullerton","20","8-6-6","119","344","32","0.346"
"202","DePaul","17","2-8-7","89","258","20","0.345"
"203","CSUN","18","6-6-6","71","207","11","0.343"
"204","Winthrop","16","1-12-3","47","139","8","0.338"
"205","Villanova","18","7-6-5","72","214","24","0.336"
"206","Columbia","15","3-8-4","60","183","18","0.328"
"207","Loyola Chicago","16","4-5-7","61","187","17","0.326"
"208","Binghamton","17","4-13","43","133","12","0.323"
"209","Saint Mary's (CA)","16","2-8-6","55","172","15","0.320"
"210","Lipscomb","17","2-9-6","56","178","16","0.315"
Reclassifying
"NR","Le Moyne","17","5-10-2","84","180","20","0.467"
"NR","New Haven","16","5-5-6","63","152","16","0.414"
"NR","Mercyhurst","17","3-10-4","63","160","18","0.394"

NCAA Men's Soccer
Division ISaves Per Game
Through Games 12/15/2025


"Rank","Name","Saves","W-L","Team Games","Per Game"
"1","Central Ark.","103","4-10-2","16","6.44"
"2","Southern Ind.","104","2-10-5","17","6.12"
"3","Central Conn. St.","97","1-14-2","17","5.71"
"4","George Washington","92","2-11-4","17","5.41"
"5","Winthrop","86","1-12-3","16","5.38"
"6","Manhattan","85","4-8-4","16","5.31"
"7","Howard","95","5-11-2","18","5.28"
"8","Temple","84","1-13-2","16","5.25"
"9","Chicago St.","88","1-15-1","17","5.18"
"10","Sacramento St.","93","2-12-4","18","5.17"
"11","Niagara","81","8-7-1","16","5.06"
"12","Lipscomb","85","2-9-6","17","5.00"
"","Bradley","85","2-9-6","17","5.00"
"","VMI","90","3-12-3","18","5.00"
"","Bowling Green","85","5-8-4","17","5.00"
"16","Villanova","89","7-6-5","18","4.94"
"17","Radford","83","2-11-4","17","4.88"
"","Colgate","83","5-7-5","17","4.88"
"19","William & Mary","78","2-10-4","16","4.88"
"20","ETSU","73","2-9-4","15","4.87"
"21","Western Ill.","97","5-11-4","20","4.85"
"22","Fairfield","87","8-5-5","18","4.83"
"","UC San Diego","87","2-9-7","18","4.83"
"24","Saint Peter's","77","4-10-2","16","4.81"
"25","Rider","81","2-11-4","17","4.76"
"26","UConn","100","12-5-4","21","4.76"
"27","Eastern Ill.","80","4-9-4","17","4.71"
"28","Monmouth","74","5-8-3","16","4.63"
"29","UIW","83","5-7-6","18","4.61"
"30","Longwood","73","3-8-5","16","4.56"
"","James Madison","73","1-10-5","16","4.56"
"32","Saint Francis","82","8-9-1","18","4.56"
"","Detroit Mercy","82","5-10-3","18","4.56"
"","CSUN","82","6-6-6","18","4.56"
"35","Mount St. Mary's","76","3-9-5","17","4.47"
"36","Navy","80","3-8-7","18","4.44"
"37","George Mason","71","7-6-3","16","4.44"
"38","Air Force","75","1-13-3","17","4.41"
"39","Dartmouth","61","3-8-3","14","4.36"
"40","NJIT","73","3-9-5","17","4.29"
"","La Salle","73","4-5-8","17","4.29"
"","Queens (NC)","73","5-6-6","17","4.29"
"43","Yale","64","3-9-3","15","4.27"
"","Northeastern","64","4-7-4","15","4.27"
"45","Milwaukee","81","4-7-8","19","4.26"
"46","Cal St. Fullerton","84","8-6-6","20","4.20"
"","Xavier","63","5-6-4","15","4.20"
"48","FGCU","67","6-7-3","16","4.19"
"","Canisius","67","5-10-1","16","4.19"
"50","Coastal Carolina","57","3-9-2","14","4.07"
"51","Gonzaga","65","5-8-3","16","4.06"
"52","Oral Roberts","69","4-10-3","17","4.06"
"53","Houston Christian","77","11-5-3","19","4.05"
"54","USC Upstate","76","5-11-3","19","4.00"
"","Siena","76","9-5-5","19","4.00"
"","Green Bay","72","9-7-2","18","4.00"
"","UC Santa Barbara","80","7-5-8","20","4.00"
"","Georgia St.","72","4-8-6","18","4.00"
"59","LIU","71","8-3-7","18","3.94"
"60","California Baptist","67","10-4-3","17","3.94"
"","Binghamton","67","4-13","17","3.94"
"62","Merrimack","63","4-9-3","16","3.94"
"63","Purdue Fort Wayne","66","8-3-6","17","3.88"
"","Butler","66","5-10-2","17","3.88"
"","South Fla.","66","9-3-5","17","3.88"
"66","Saint Mary's (CA)","62","2-8-6","16","3.88"
"67","Lindenwood","81","14-3-4","21","3.86"
"68","Syracuse","77","9-8-3","20","3.85"
"69","Army West Point","69","7-6-5","18","3.83"
"","Fordham","69","8-6-4","18","3.83"
"","New Hampshire","69","5-8-5","18","3.83"
"72","Boston College","65","7-9-1","17","3.82"
"","Utah Tech","65","4-7-6","17","3.82"
"74","Columbia","57","3-8-4","15","3.80"
"","Lehigh","76","9-5-6","20","3.80"
"76","Old Dominion","68","5-5-8","18","3.78"
"","Oakland","68","3-9-6","18","3.78"
"78","Robert Morris","64","6-4-7","17","3.76"
"","Massachusetts","64","6-5-6","17","3.76"
"80","Seattle U","63","4-7-6","17","3.71"
"81","Loyola Chicago","59","4-5-7","16","3.69"
"82","SIUE","70","6-11-2","19","3.68"
"83","UAB","55","6-7-2","15","3.67"
"","UMass Lowell","66","7-7-4","18","3.67"
"","Mercer","66","5-9-4","18","3.67"
"","Pacific","66","4-14","18","3.67"
"","Boston U.","66","10-8","18","3.67"
"88","Notre Dame","73","9-7-4","20","3.65"
"89","Belmont","62","8-3-6","17","3.65"
"","Rhode Island","62","4-8-5","17","3.65"
"91","UNCW","58","5-9-2","16","3.63"
"","Wright St.","58","2-13-1","16","3.63"
"93","Brown","54","6-7-2","15","3.60"
"94","Lafayette","79","8-7-7","22","3.59"
"95","Wake Forest","61","7-4-6","17","3.59"
"","Harvard","61","6-6-5","17","3.59"
"","NIU","61","8-5-4","17","3.59"
"","Rutgers","61","8-6-3","17","3.59"
