 


  
  

NCAA Men's Soccer
Division ICorner Kicks Per Game
Through Games 12/15/2025


"Rank","Name","Team Games","W-L","Corners","Per Game"
"","Sacramento St.","39","2-12-4"
"","Western Mich.","39","8-10-4"
"53","Mercer","38","5-9-4"
"","Drexel","38","4-6-6"
"","Houston Christian","38","11-5-3"
"","Loyola Maryland","38","3-10-3"
"","Stetson","38","6-8-3"
"","IU Indy","38","6-8-3"
"","Utah Valley","38","8-4-3"
"60","Boston College","37","7-9-1"
"","UC Riverside","37","4-9-4"
"","Creighton","37","8-4-4"
"","Duke","37","10-4-6"
"","Milwaukee","37","4-7-8"
"","Loyola Chicago","37","4-5-7"
"","Manhattan","37","4-8-4"
"","Stony Brook","37","9-5-5"
"","Hofstra","37","14-5-1"
"69","Binghamton","36","4-13"
"","Central Conn. St.","36","1-14-2"
"","George Washington","36","2-11-4"
"","UMass Lowell","36","7-7-4"
"","Omaha","36","3-9-4"
"","Lipscomb","36","2-9-6"
"","Radford","36","2-11-4"
"","Saint Louis","36","13-3-8"
"","St. Thomas (MN)","36","7-5-5"
"","Stonehill","36","5-10-3"
"","Oregon St.","36","10-5-2"
"80","Bryant","35","17-2-3"
"","Harvard","35","6-6-5"
"","LIU","35","8-3-7"
"","Col. of Charleston","35","6-8-3"
"","Saint Peter's","35","4-10-2"
"","San Francisco","35","10-6-1"
"","South Carolina","35","7-9-2"
"","Quinnipiac","35","7-10-1"
"88","Coastal Carolina","34","3-9-2"
"","Jacksonville","34","6-7-5"
"","Portland","34","14-2-4"
"","North Florida","34","12-5-2"
"","SMU","34","11-5-4"
"","Syracuse","34","9-8-3"
"","Army West Point","34","7-6-5"
"","Vermont","34","14-1-5"
"","South Fla.","34","9-3-5"
"97","CSU Bakersfield","33","3-11-3"
"","Detroit Mercy","33","5-10-3"
"","Fla. Atlantic","33","12-4-2"
"","Iona","33","9-4-5"
"","Longwood","33","3-8-5"
"","Seattle U","33","4-7-6"
"","Oral Roberts","33","4-10-3"
"","Seton Hall","33","7-4-8"
"","Temple","33","1-13-2"
"","Green Bay","33","9-7-2"
"","Wright St.","33","2-13-1"
"","Ohio St.","33","6-10"
"109","Boston U.","32","10-8"
"","Cal Poly","32","9-6-5"
"","UC Davis","32","4-9-6"
"","Chicago St.","32","1-15-1"
"","Clemson","32","8-6-3"
"","Drake","32","8-2-7"
"","Utah Tech","32","4-7-6"
"","Fairfield","32","8-5-5"
"","UIC","32","10-3-5"
"","Louisville","32","5-7-5"
"","New Hampshire","32","5-8-5"
"","St. Bonaventure","32","3-9-3"
"","Western Ill.","32","5-11-4"
"","Duquesne","32","8-6-2"
"123","UAlbany","31","5-6-6"
"","Cleveland St.","31","9-4-6"
"","ETSU","31","2-9-4"
"","Lehigh","31","9-5-6"
"","Northeastern","31","4-7-4"
"","Pittsburgh","31","6-7-5"
"","Kansas City","31","12-4-5"
"","Saint Joseph's","31","6-7-5"
"","Saint Mary's (CA)","31","2-8-6"
"","Stanford","31","14-4-2"
"","Tulsa","31","5-9-4"
"","Villanova","31","7-6-5"
"","Robert Morris","31","6-4-7"
"136","Bowling Green","30","5-8-4"
"","Butler","30","5-10-2"
"","Eastern Ill.","30","4-9-4"
"","Howard","30","5-11-2"
"","VMI","30","3-12-3"
"","Providence","30","6-7-3"
"","Rider","30","2-11-4"
"","St. John's (NY)","30","9-6-4"
"","NIU","30","8-5-4"
"145","Akron","29","13-5-3"
"","Canisius","29","5-10-1"
"","UNC Greensboro","29","12-5-6"
"","Wofford","29","6-11-2"
"","William & Mary","29","2-10-4"
"","Central Ark.","29","4-10-2"
"","Niagara","29","8-7-1"
"152","UC San Diego","28","2-9-7"
"","Dartmouth","28","3-8-3"
"","Dayton","28","8-2-8"
"","Ga. Southern","28","13-4-1"
"","Wake Forest","28","7-4-6"
"","Charlotte","28","8-4-4"
"","San Diego","28","13-3-3"
"","Missouri St.","28","6-6-4"
"","Maryland","28","13-2-4"
"161","Bradley","27","2-9-6"
"","Brown","27","6-7-2"
"","Denver","27","12-7-3"
"","Georgetown","27","14-4-4"
"","Yale","27","3-9-3"
"","Holy Cross","27","4-8-6"
"","Liberty","27","9-5-6"
"","Princeton","27","15-2-2"
"","Air Force","27","1-13-3"
"","Gonzaga","27","5-8-3"
"171","North Carolina","26","9-5-6"
"","Xavier","26","5-6-4"
"","Virginia Tech","26","7-4-5"
"","Penn St.","26","5-8-4"
"175","Bucknell","25","9-4-5"
"","UC Irvine","25","11-4-6"
"","Cornell","25","14-4-2"
"","Marquette","25","7-7-2"
"","Wisconsin","25","8-8"
"","UNLV","25","4-6-6"
"","Northwestern","25","8-6-3"
"","VCU","25","6-6-5"
"","UMBC","25","6-6-5"
"184","California","24","8-8-2"
"","Rutgers","24","8-6-3"
"","UNC Asheville","24","7-7-2"
"187","Michigan St.","23","5-8-3"
"","UCF","23","11-7-3"
"","American","23","8-8-2"
"190","Colgate","22","5-7-5"
"","Massachusetts","22","6-5-6"
"","High Point","22","14-2-4"
"","Belmont","22","8-3-6"
"","UTRGV","22","1-7-2"
"195","Monmouth","21","5-8-3"
"","Notre Dame","21","9-7-4"
"","Winthrop","21","1-12-3"
"","Navy","21","3-8-7"
"","Siena","21","9-5-5"
"200","Memphis","20","4-8-3"
"","UAB","20","6-7-2"
"","Presbyterian","20","7-8-5"
"","UCLA","20","8-6-5"
"","Georgia St.","20","4-8-6"
"","Bellarmine","20","8-4-5"
"206","Oakland","18","3-9-6"
"","Delaware","18","12-2-3"
"208","Indiana","17","12-6-1"
"209","Penn","12","8-5-4"
"","Columbia","12","3-8-4"
Reclassifying
"NR","Le Moyne","43","5-10-2"
"NR","Mercyhurst","34","3-10-4"
"NR","New Haven","34","5-5-6"

NCAA Men's Soccer
Division IScoring Offense
Through Games 12/15/2025


"Rank","Name","Team Games","W-L","Goals","Per Game"
"1","Delaware","17","12-2-3","48","2.82"
"2","High Point","20","14-2-4","49","2.45"
"3","Indiana","19","12-6-1","46","2.42"
"4","Oregon St.","17","10-5-2","41","2.41"
"5","Maryland","19","13-2-4","45","2.37"
"6","Georgetown","22","14-4-4","52","2.36"
"7","Wake Forest","17","7-4-6","39","2.29"
"8","Washington","24","16-6-2","54","2.25"
"9","California Baptist","17","10-4-3","38","2.24"
"10","NC State","23","16-3-4","51","2.22"
"","Furman","23","16-2-5","51","2.22"
"12","Clemson","17","8-6-3","37","2.18"
"13","UIC","18","10-3-5","39","2.17"
"14","Portland","20","14-2-4","43","2.15"
"15","West Virginia","21","13-5-3","45","2.14"
"16","Cornell","20","14-4-2","42","2.10"
"17","Utah Valley","15","8-4-3","31","2.07"
"18","Charlotte","16","8-4-4","33","2.06"
"19","Campbell","20","10-6-4","41","2.05"
"","Vermont","20","14-1-5","41","2.05"
"21","Lindenwood","21","14-3-4","42","2.00"
"","Bellarmine","17","8-4-5","34","2.00"
"","North Florida","19","12-5-2","38","2.00"
"","Bryant","22","17-2-3","44","2.00"
"","Fla. Atlantic","18","12-4-2","36","2.00"
"","George Mason","16","7-6-3","32","2.00"
"","Hofstra","20","14-5-1","40","2.00"
"28","UNC Greensboro","23","12-5-6","45","1.96"
"29","Iona","18","9-4-5","35","1.94"
"30","South Fla.","17","9-3-5","33","1.94"
"31","UCF","21","11-7-3","40","1.90"
"","Marshall","21","12-4-5","40","1.90"
"33","Duke","20","10-4-6","38","1.90"
"","San Jose St.","20","12-4-4","38","1.90"
"35","St. John's (NY)","19","9-6-4","36","1.89"
"","San Diego","19","13-3-3","36","1.89"
"37","Gardner-Webb","18","13-3-2","34","1.89"
"38","Grand Canyon","23","14-4-5","43","1.87"
"39","Stanford","20","14-4-2","37","1.85"
"40","Fairfield","18","8-5-5","33","1.83"
"41","Seattle U","17","4-7-6","31","1.82"
"","Boston College","17","7-9-1","31","1.82"
"43","FDU","21","13-5-3","38","1.81"
"44","Michigan","20","12-4-4","36","1.80"
"","Liberty","20","9-5-6","36","1.80"
"46","Princeton","19","15-2-2","34","1.79"
"47","Old Dominion","18","5-5-8","32","1.78"
"","Sacred Heart","18","9-4-5","32","1.78"
"49","NIU","17","8-5-4","30","1.76"
"50","Virginia","19","12-2-5","33","1.74"
"51","Denver","22","12-7-3","38","1.73"
"52","Dayton","18","8-2-8","31","1.72"
"","LMU (CA)","18","5-6-7","31","1.72"
"54","Penn","17","8-5-4","29","1.71"
"55","SMU","20","11-5-4","34","1.70"
"56","Marist","16","8-4-4","27","1.69"
"57","Milwaukee","19","4-7-8","32","1.68"
"","Stony Brook","19","9-5-5","32","1.68"
"","UCLA","19","8-6-5","32","1.68"
"60","Boston U.","18","10-8","30","1.67"
"","UConn","21","12-5-4","35","1.67"
"62","Rutgers","17","8-6-3","28","1.65"
"","Belmont","17","8-3-6","28","1.65"
"64","Siena","19","9-5-5","31","1.63"
"65","Kansas City","21","12-4-5","34","1.62"
"66","Bucknell","18","9-4-5","29","1.61"
"","Fordham","18","8-6-4","29","1.61"
"68","Cal St. Fullerton","20","8-6-6","32","1.60"
"","Xavier","15","5-6-4","24","1.60"
"70","Massachusetts","17","6-5-6","27","1.59"
"","Purdue Fort Wayne","17","8-3-6","27","1.59"
"","Penn St.","17","5-8-4","27","1.59"
"73","Seton Hall","19","7-4-8","30","1.58"
"","Wofford","19","6-11-2","30","1.58"
"75","Akron","21","13-5-3","33","1.57"
"76","Marquette","16","7-7-2","25","1.56"
"77","North Carolina","20","9-5-6","31","1.55"
"78","St. Bonaventure","15","3-9-3","23","1.53"
"79","Rhode Island","17","4-8-5","26","1.53"
"","Robert Morris","17","6-4-7","26","1.53"
"","San Francisco","17","10-6-1","26","1.53"
"82","Cal Poly","20","9-6-5","30","1.50"
"","Jacksonville","18","6-7-5","27","1.50"
